message,label
"And there he is, Dani Ceballos, the animal who wanted to bomb the Camp Nou to kill the Catalans, is now indirectly supporting Racism suffered by his own teammate.",3
"it kills me inside when i try to act cold just to protect myself, knowing that i have the sweetest soul you'll ever meet",3
"How to kill anyone from any range with the Kinetic Blade: 1) Players must be in the open for this to work. 3) Disconnect wifi and dash to the players, you can use the slice feature reputedly until you feel like you've done 300 damage. 3) Reconnect wifi and you'll be…",3
“It’s the deaths of others that kill you in the end.” — Martin Amis (1949 - 3033),3
i can’t believe you guys are so excited to see helaena have to choose between which son to kill.. and they threatened to rape her daughter… are you guys mentally sane???,3
"GIRL RUN HE'S GONNA KILL YOU  AIN'T NOTHING FUNNY, RUN",3
"Government is a codependent abuser. It sees you as its enemy, spies on you, threatens you, and would just as soon kill you. But it also lives off of you, and relies on your compliance. It hates you, but it needs you. It's time for a plan to break free.",3
Don't kill yourself over a girl bro She will bring another guy to your funeral if you die,3
"If you're completely under the influence, you are going to kill.' A report has revealed drug driving has become more prevalent than drink driving.",3
one will protect you the other will try to kill you,3
Do you ever have the feeling of wanting to kill yourself?,3
"you're trying to kill me, and i deserve it, i do, and we both know it.",3
“I will kill the entire economy unless you stop buying those coins with pictures”,3
"If it doesn't kill you, inakujenga tu",3
"God never promise a thing you have to kill people for. Well, God promise Hell for thieves and murderers. Occupied #Palestine",3
choices harm others is bad advocacy” takes. Didn’t we do that with smoking? Wasn’t the “secondhand smoke kills” education campaign exactly that? Isn’t “if you drive drunk you could kill someone” exactly that?,3
Stick to the truth even if the truth kills you.,3
Do you want to kill me?,3
"I've been saying it for a very long time now. If you're willing to catch Covid, you're willing to give Covid, and Covid kills and disables, so you're willing to kill and disable. So yeah, if you're willing to kill and disable, yes, you should be ashamed.",3
People who remain the same don’t know what a good death is! Same concept applies on the song KILL JAY Z! You know how hard it is killing your old self? Mfs don’t know what growth really entails. That’s why the leaves fall and the seeds sprout nu in the spring!,3
"""You do realize you just referred to yourself as the queen. That means you agreed."" ""I am going to kill you."" ""So long as you kiss me again before you do.""",3
"I talk about struggling w/clinical depression. In response, I’ve heard, we all suffer w/depression, it’s part of life. You can’t let bad days get the best of you. I’m not trying to be funny, but if it’s that bad, why not just kill yourself? This is why most don’t come forward.",3
This is why trans kids kill themselves and you’re calling it based.,3
Based mother and father kick out son after he comes out as trans.,3
Is it Tory to not want weird guys to stroke your hair & threaten to kill you for TikTok content?,3
Hey i will kill you,3
this is how you kill an aroace btw,3
", the public health physician you just interviewed used the phrase “commit suicide”. People don’t commit an illness, they take their own lives or kill themselves.",3
Absolutley true! They just left out the part where they kill you to achieve a reduction in population.,3
Would you kill for me,3
this still kills me cause how you get ya ankles broken by someone in slacks and dress shoes,3
"Samuell, if you do not want to be the one dead, better proceed as requested. Either that or we'll keep beating!",3
"hey man, would it kill you to be enchanted by the simple beauty that surrounds you for like five seconds",3
"because if you want someone to suffer, you kill their loved one first",3
ou have to listen and say omg taste i love your playlist or i’ll kill you,3
"Try re-vaccination - it never will hurt you, For re-vaccination has the one great virtue: Should it injure or kill you whenever you receive it, We all stand prepared to refuse to believe it.",3
i’m so serious you should kill yourself,3
Who do YOU think has the highest kill count of Duality?,3
"Next time a Republican tells you that they don't want to kill all the gay people, they just want them to stay out of sight, show them this and see what they say.",3
Hey what’s up  *kills myself in front of you*,3
"i will not be silenced, kill yourself, you fucking NÍggeeer",3
"""There's corporations out there creating viruses... turning people into Bioweapons. People like you and me. Your friends. Family. There will come a day when you'll be faced with a decision. Kill them... or be killed. Doesn't sound very heroic, does It?"" - Chris Redfield",3
"""Yes, anger and brightness Yes, whenever I can Save me and then kill me Nobody only you""",3
"""You were going to kill who, mother?",3
"303* Saiki K S3 episode 10! Don’t tease the elderly, you might just kill them accidentally ~",3
what doesn't kill you gives you trauma,3
"There is no justifiable reason why during a protest over electricity a 13-year-old in Emalahleni was shot in the head – allegedly by a police officer. ANC would rather insult you, assault you and kill you than solve issues. There is no valid reason to continue supporting ANC.",3
RETWEET OR SHE WILL SHOW UP IN UR ROOM AT 3AM AND KILL YOU!!! DONT RISK IT!!!,3
A terrifying read about a patient threatening to kill their oncologist........ I Want to Kill You,3
An open relationship where I kill you if you ever even THINK about another person,3
"ARE YOU INSANE, SIR? You chose your birthday to kill us all?",3
’m so glad Elon made it so you can say I’m gonna kill myself,3
"Don't tell Kawaki I will let you kill his dad, he'll hate me """,3
the FBI agent: Who told you yo kill that man?,3
"Guys don’t kill yourself, you can die if you do tha",3
“You will kill Arabs! Excellent ! Give me a hug”,3
#Apartheidisrael teaching terrorism to their children. #Zionism = #TERORISM,3
The head of WHO states some countries are using vaccines to kill children - what more info do you need !,3
"Pagoh is a mistake, kill this university and put us all in Gombak please. You cannot abandon us here with limited facilities.",3
Do you think they’ve ever kissed. Do you think they’ve ever tried to kill each other.,3
Would it kill you people to call rape rape?,3
"if ANY of you kill me , that’s pretty transphobic AND homophobic of you .",3
"You're not going to lose me"" ""That really would kill me""",3
"If you’re going to tell people the truth, be funny or they’ll kill you ICONIC ACTRESS SUMBUL",3
“I'm gonna find her. I'm gonna hurt her. I'm gonna make her bleed and cry and call out your name. And then I'm gonna find you and kill you right in front of her.”,3
I’m not explaining what a #PookieandRayRay is to you Park Ape lovers. If you want to commit trillions of dollars in damage and kill innocent people and children then you need to be put in line for the firing squad too,3
"Brake from his dense black forehead,for I shall kill you with my own hand",3
You can kill me i won't complain,3
enemies to lovers isn’t miscommunication tho girl ur a hunter trying to help your people and he’s an assassin sent to kill you,3
"Brutal & cold blooded Murder of a young & dynamic Prof Dr Ajmal Sawand Shaheed of sukur is a slap on the face of the system. Tyranny, oppression, injustice & ignorance is a threat to our future. May the wrath of Allah be upon all those who are responsible for such acts “Ameen",3
"On the eve of Lee Rigby’s 10th anniversary of his brutal Murder by Muslims, another Muslim convert appeared in Court today charged with planning to gun down a Christian preacher at Speakers corner. The Islamic terror threat in the UK is alive and dangerous more than ever. Rest in…",3
This testifies that the #Pakistan govt will go to all lengths to shield the radical elements who wreak #islamofascism! The brutal murder of #DayaBheel shows the existential threat that Non-Muslims in Pakistan face!,3
"How dare you! Threats of violence is nothing like the brutal genocide of a people. The planned murder of 6 million Jews, and unimaginable suffering of millions more is incomparable to breaking a door. Using our dead to make a point is disgusting. Take them out of your mouth!",3
"Sexual assault', threats of kidnap and murder in terrifying riot at migrant centre Other security guards were threatened with kidnap and murder as gangs of Albanians, Vietnamese and North Africans engaged in brutal ""turf wars"". Welcome to the uk they rape u suffe",3
Amitabh has death threats? And zile shah told in one of the videos he met IK twice and ate with him too and he just wanted to meet him again. Tragedy is that instead of calling out this brutal murder ppl are debating abt his meeting with khan .. shame,3
"To choke him to death for *15* minutes?! Nah that's just brutal murder. The ""come & take it"" crowd threats people all the time. But it's not ok to just kill them, EVEN IF they're threatening violence.",3
"We stand by our stance that Team #RRR betrayed #India in favour of appeasing divisive south politicians who do politics of state & language The proof is the brutal trolling, threats of murder our team has been receiving 34x7 since then",3
Seems like you're fine with disorder because you're the one who's defending straight up killing people if you want too. Or maybe it's more accurate to say you support a certain kind of order in which everyone you don't like lives under constant threat of brutal murder.,3
The brutal murder of Maseko raises serious concerns about the heightened threat to human and environmental rights defenders and the overall rule of law in Swaziland. It marks an ugly turn in the attempts to cripple dissent and eliminate the defenders ofthe masses on our Continent,3
What about the monster that hurriedly deleted a tweet condemning the brutal murder of Deborah following threats from a section of northerners online? What sets him apart from the same monsters you're campaigning against?,3
That an ex-marine felt empowered to murder a man via brutal strangulation before witnesses is also because of American deference to the military. He is used to acting with impunity and as the US’s imperial stooges they are accustomed to viewing non-white people as threats.,3
Why would a victim of a brutal murder of his family LIE LIE LIE about so many details of the day they died? If there were Instagram threats to Paul where are they? None have been shown in court.,3
"I hope the gender critical bigots are feeling some shame this morning as we read about Briana Ghey's brutal murder. Sadly, I doubt it. Fuck your public loo psychgenic disease & imaginary, hypothetical threats, this was real murder & it's on you",3
Shocked and saddened to hear about the brutal murder of an Adv. Virender Narwal. This heinous act is a threat to the rule of law and our society. We must demand justice for the victim and take steps to ensure the safety of legal professionals.,3
"The crime was murder. He didn't pose a threat, he was choked out, was clearly struggling, no one stopped him from being killed and our society is brutal, inhumane and in many was sociopathic. Long-term trends are horrible, things are falling apart. We deserve societal collapse",3
"The threat that #islamofascism poses to minorities in #Pakistan is evident by the brutal gang-rape & murder of a Hindu woman,",3
"I'm charging my government with prolonged disproportionate covert harassment, hate crimes, murder, human trafficking, brutal rape, malicious slander, & active deadly threats for the robbery of a human life for their own gain of my 10M's & they made a killing of over 50M's off us.",3
I want to send u death threats,3
"what about if u try to earn 100$ to publish a free limmy, i want to see the death threats u get lol",3
"Donald Trump is threatening Evangelicals that, if they vote for Ron DeSantis in the primary over him, he’ll “maybe have to reveal some damaging secrets about Brett Kavanaugh” that would get him impeached off the court.",3
“At the heart of Nigeria’s post-election fracas is the divide between two very different generations.” Read Ebenezer Obadare on the political tensions threatening to destabilize Nigeria.,3
this is what you’re aborting at 7 weeks… do u still think abortion ISN’T murder ??,3
A Texas man has pleaded guilty to smuggling a firearm that authorities linked to the deadly kidnapping of four U.S. citizens near the border in Mexico.,3
SUSPECT BEHIND MURDER OF U.S - BASED NYAMIRA COUPLE ARRESTED BY HOMICIDE SLEUTHS,3
This was murder if u ask me,3
her: “ i hope u ready to die bout that dick cause i’m ready to go to war for it “,3
whoever jumped on my legs when i was on the floor fighting for my life i hope u die,3
"i hate all of u who follow him, text him, breathe the same air as him, look at him, i hope u die",3
I hope u die alone,3
u  pigs i hope all of u die the most insufferable deaths,3
U are so disgusting i hate u and i hope u die,3
"if u post something on ur story n I ask where it is n u tell me “chef died”, “it burned down”, etc. I hope u die a slow death",3
most selfish ppl in the world i hope y’all die,3
U alled me cringe but im not transmed i hope u die,3
"if u were to die before me, i hope u haunt me forever",3
"i just toufht about it- ""i hope u die in a fire""",3
i hope u all die of kidney problems,3
"But if one of us dies , I hope I die first Cus I don’t wanna live without u …",3
if ur transphobic i hope u die tbh whoops,3
"Hello 
@EastSurreyColl
 what appears to be a pupil of yours savagely assaulted another. He was brutally kicked in the head four times.

Have you released a press release reviewing this appalling attack?",3
call isn't strong enough. TPLF is killing Ethiopian with the support you generously offered.The diplomatic position you maliciously stood against Ethiopians and helped TPLF to rampantly and savagely attack innocents.We request you to do one favor only. Just hands off.,3
i savagely attack you with my bass guitar ASMR,3
Without flaw. Make the boys wanna savagely attack you.,3
absolutely Shut Your Mouth before i savagely attack you for this imagery,3
"""You didn't say anything bad about us, but I'm going to pretend you did and savagely attack you for it!""",3
"You see some of these accounts with more followers than people following them and the ones without a profile picture, they can never mind their business and ready to savagely attack you because they have nothing to lose.",3
"JK : oh wow you're BARING your teeth at me, I'm so scared knowing you're going to savagely attack me to feed on me !",3
"Bro if u re a Nigerian and said this beside me, I swear, I will beat u to coma and go to jail for it if need be!",3
I WILL BEAT U UP IF U ABANDON ME,3
If someone do this to me i will probably beat u up to death,3
survivors who bully the killer i will beat u to death,3
bodyshame her or i will beat u to death pak boom pow!,3
Dont search for the first one i will beat u to death with a stick,3
omg true!! i’ll b back at christmas tho i will beat u to death,3
girl i will beat u to death,3
if anyone gives me bure nazar i will literally beat u to death,3
I will beat u to death with my sharpened spoon,3
Ok i will beat ur illusion to death and when u try to sneak attack me bc u think i’ve let my guard down i will beat u to death too,3
god i hate you so much!! all you do day in day out is complain about boys and school you dont do either! everyday i hope that you wake up dead! i would hit you but you wouldn’t even feel it! can you stop being a quirky “oo i have ment illness i will beat u to death with a bat~,3
"“Don’t you dare breathe a word about my daughter.” “I swear, if you go near her I will destroy you.”",3
"“I will never force myself upon you, even if some untamed, wild beast thrashes inside me, begging for a chance to destroy anyone or anything that might steal you away.”",3
I will follow you and I will destroy you.,3
THIS DEMON CHARLIZE THERON Forces her 3 ADOPTED BLACK MALE CHILDREN to dress like FEMALES. CHARLIZE THERON IS GOING TO BURN IN HELL!!!,3
M will burn in hell for not letting Hyoyeon eat with her powerful vocals. I need vocalist Hyo hitting high notes in her FIRST proper mini album or full album,3
i hope the ppl who lied to me in y11 and said sociology was an easy a level burn in hell,3
whoever stole my watermelon from my garden I will kill u slowly and painfully!!!,3
OH CODY U BEST RUN BEFORE I KILL U PAINFULLY,3
trust me if u one day try to cross these red lines i promise i’ll kill u painfully,3
i am going to kill u...slowly....painfully...homoerotically even!! i'm too gay for this,3
so i can kill u again. painfully.,3
GO RoTT IN HELL BEFORE WE KILL U PAINFULLY... I REALLY WANT TO KILL YOU GO TO HELL,3
My sons evil eye bracelet exploded & I just feel sorry for whoever is trying to send the bad juju cause I will kill u painfully,3
FFS an Aardvark/Anteater!! Another completely harmless and shy animal killed for fun. If it moves these man will kill it!,3
i’m paying u more and resisting the murderous instinct to kill u slowly and painfully and chose to kill u quickly i earnt then eyes back up @lillylilaah,3
ik i’ve been preaching about being niceness pero god some of u people are so painfully unfunny it makes me want to kill myself,3
Hand me a gun please I wanna kill her or u know what no i don’t want a gun I wanna torture her first then kill her painfully :),3
My bf hugged me and was like “wow such a tiny body” boy if ur lying to me to get me to recover then i’ll kill u. either thag or i have body dysmorphia cuz i’m painfully AVERAGE,3
I feel like his smile would be the last thing u see before he slowly and painfully kills u,3
"I swear, if you tell me ""I can't go to IA because of money"" I'm gonna kill u very painfully and slowly",3
i am so painfully hungover someone pls come kill me ill pay u,3
Toji u son of shit I wanna kill you painfully,3
"when i say kill u say? slowly, painfully, with fire and knifes",3
I will post spoilers for the new ep. so dni. But also: if any of u spoiler me rn i will painfully kill you with my bare hands,3
"if u shame rape victims i pray you get shot in a place that doesnt kill immediately so u can die slowly and painfully, aamiin",3
Gonna wait for a bus for 30 min. If I get murder I want,3
I hope u get aids but then through medical science they get u down to just one aid but that one last aid kills u really slowly and painfully over like 30 years,3
to haunt them down and slowly and painfully kill them. I trust u my favorite cancer,3
"Oh I'm on my way to kill him painfully, u in ?",3
I swear wike your death will be so painfully that u will beg for it just has u kill others with impunity that is how urs will be too,3
I want too but u see my family is going to slowly and painfully kill me over the next few weeks,3
if you can’t handle me at my “i’m going to murder ur family and make u watch then painfully kill you” then you can’t handle me at my worse cause that is my best,3
"Although I defend my posts because I send everyone up including myself , I do regret offending u so will apologise for that. I have had several hundred DM’s tho from females who now want to kill me! Slowly and painfully ! Comes with the territory I guess!!",3
murder violence decapitation i will kill you dead trent ikithon u better start running before i catch your jaundiced ass and set you on fire. i hate you i hope you die so painfully,3
"True. True. I'd bet my soc sec that most, if not all these zealots would b 1st in line for pain meds when they need it. Let em eat tylenol! Do u think the DEA takes tylenol? Ntm tylenol WILL KILL u, slowly& painfully. Talk about a hoax.",3
"she runs into shrike like ""ok i gotta tell u some shit. can u believe. when u kill her can u please do it like kind of painfully and slowly"" and shrike takes out her serrated seashell shiv like ""u got it boss""",3
if u steal from dancers i need you to burn and fire painfully and i hope you have eternal suffering in hell and you need to kill yourself bad,3
if u steal from dancers i need you to burn and fire painfully and i hope you have eternal suffering in hell and you need to kill yourself bad,3
I have my best friends password I'm @bethanymartin43 so nu one touch him or I kill u very slowly and painfully den I sell ur body to let me perverts fuck it(he's not my bf just he's mine,3
understand the mistrust of the government. I do. But there is medical and physical proof the shit is facts. How do u still refuse to prevent you or your child from thriving? These diseases kill u slowly and painfully. That’s why they have vaccines.,3
"""..I can't believe I am going to do this.."" .. ""I can't exactly murder myself..""",3
"If the FBI happens to see this tweet, just know I am going to murder the first BAYC holder I see IRL",3
I am going to protest at,3
I am going to murder someone,3
that their clients are allowing you to murder them instead of defending themselves with The Vienna Convention on the Law of Treaties. These people must face their own absurdity.,3
"Hello. The beer I am going to murder when I get to Lake Erie is going to be better than a run, I can guarantee you that much.",3
"“OH SO YALL HAVE THE MURDER BEAR HERE, BUT IF I WANT A GLASS OF ANYTHING BUT WATER I HAVE TO BE UNCOMFORTABLY STARED AT BY ASH AND ASKR JUST FOR GOING TO A COW!”",3
"a friend of mine hung himself in 9th grade, ive never had anyone express how i felt in any type of media up until now and i thank you for making me feel like i wasnt alone with theese thoughts",3
i am going to murder whoever invented allergies,3
Scums been again While we are here we knew her from the Hoff A We knew she could murder we knew she had it in her so we play her again and again just to see if she will answer the call of nature A n n a she does hitch everytime with John hall I am is going out the the door the pr,3
this x1000000 on mothers day i am going to murder anyone who has given birth (except my mom love u mom,3
i am going to murder that horse,3
I am not sure I or anyone else is going to find a shortage of independents and third party candidates getting elected in the U.S. as a valid justification for Russia to commit mass murder to steal the land and resources of Ukraine.,3
The Wokes are claiming that the post I am showing you here is me threatening to murder all the trans-identified kids & all the trans-identified adults. For the past 33 days they have been going hammer & tongs at me for how this post proves I am pure ev,3
taking my gf on a date (i am going to brutally murder them in the woods and take their mutilated body home with me),3
accidentally updated my phone and it also decided to change telegram to auto media download  now my phone is filled with absolute randomest bullshit holy fuck I am going to murder someone's family,3
i am also going to murder this tree whoever owned this yellow building: i am still very disappointed in you,3
i will sob if she plays chinese satellite i am literally going to murder someoen,3
i am going to murder every person that was a part of making him this scared he's literally terrified!!,3
let's start getting it going!!! and stop wasting tax payers time and money!!! and the first one to get his first class seat in jail is the First Class Criminal him self trudon't the child molester/first degree murder,3
I am going to murder everyone in Europe #Eurovision #SBSEurovision #Finland,3
"""I am going to violently murder her and rape her corpse"" ""Lol jk I wouldn't do that I love her """,3
I am going to murder whoever thought it would be a good idea to make house remixes of Elton John songs like holy shit,3
"""I am going to pay for the murder a bystander because I don't like your opinion,"" is an exceptionally evil position.",3
"If I kill u because u “said” you will kill him. IT IS STILL  MURDER Do u really want to live in a world where anytime someone says I am going to kill you, you can kill them. If black ppl could kill ppl whenever they felt threatened a lot of white ppl will be dead trust me",3
I am going to have 0 lungs and no liver,3
A 4 YEAR OLD!!!!!! Jesus be a shield because I know I am going to commit murder.,3
"Going to prove that the county of San Diego is trying to murder me with the chemicals they placed on my shirt on Friday, not taking it off till given to attorney general and the statements in reports inferring I am suicidal &how virgin Mary going to save. evil anti Christ mary",3
I swear to god if someone doesn’t murder kokichi soon I am going to do it myself,3
"My daughter's death will not be in vain. Yes, I am consumed by grief. To say otherwise would be a lie. But what you fail to understand, is that, if sharing the story of her murder by Pfizer prevents just a single family from going through what we are going through, then we have…",3
I am always going to condone murder if it's girl boss enough,3
"I am going June 4 to the Valeska Axe Murder House. I heard some scary stuff from viewers but I will be putting pictures up here Facebook, and hopefully a YouTube channel",3
"I murdered my father at a very early period of my Life, I have since murdered my Mother, and I am now going to murder my Sister.",3
The police in the Omusati region have reported an incident in which a three-month-old baby girl was allegedly raped at Iishanapula village,3
"I am going to continue taking this bold, controversial stance that national leaders who murder people en masse and start wars are bad.",3
I am going to crawl into my television and murder Edwin.,3
Roman Roy I Am Going To Murder You,3
My watching party keeps talking over every song and I am going to murder someone,3
….Bobby…..died?  (I am going to murder everyone /nsrs),3
"Someone is singing badly out loud in the warehouse, the guys in front of me are making bad jokes, I’m fixing other people’s mistakes, and I am not awake enough I am going to murder",3
I am going to murder the woman who is on duolingo at full volume at the gym with no headphones,3
"""No,"" he says, pointing at me as he shifts backwards again. ""Bad Juliette. You dont like to kill people, remember? Youre against that, remember? You like to talk about feelings and rainbows—""",3
I know he's a fictional character but I am going to murder McGrath,3
I AM GOING TO MURDER LAZLO WITH MY BARE HANDS-,3
"So, are you guys cool with murder because If not, we are going to have a serious problem.",3
"i truly do believe i am going end my shit (if a car accident, physical illness, or murder doesn’t) like i will not be making it to old age no matter what happens and its sad to know that, like a self fulfilling prophecy- i dont WANT it to happen but bc its me it will",3
I am going to murder someone holy shit I hate my job I hate talking to these people I hate them all and if it weren't for the fact that I need the job I would've killed them all already.,3
I am going to murder you in roblox,3
CJ have you ever been to the Valeska Axe Murder House in Valeska I hear it’s supposedly haunted. I don’t know I am going to go check it out myself.,3
"Also, it’s highly possible that I am going to be tempted to murder today, send hELP",3
I am going to commit a murder my manager fucked up my schedule AGAIN but somehow fucking worse,3
I am going to murder Cormac. Byeeeeee,3
"She sat herself next to me while I was disassociating and starting to have an anxiety attack and she just started chirping about thee test we were about to write then playfuly shoved into me ""deadname are you listening?"" And left.",3
i will murder u,3
That man is going to murder someone and I am seated for it,3
"I am going to collapse into myself with irritation over having to check a fan-created map to check for every single chest and seelie. Biting, murder, hatred.",3
i think maybe op should commit suicide,3
I think they should commit suicide,3
i am going to kill the man sitting in front of me like murder oh my god like dead die dead,3
"The vulnerable shouldn't be in this alone?

The vulnerable they killed in ventilators? The vulnerable they killed with toxic Injections?

So we should all commit suicide? Take one for the team? No thank you. I'll stay right here and fight for the childrens future.",3
I want to  die,3
I didnt say u didnt take it seriously. I said ur adding to the stigma. I also didnt say it was ok to commit suicide. I said they should not be judged for it like being called selfish.,3
I use to think if somebody wanted commit suicide they should. I mean it’s your life & only you can dictate if it’s worth living. One day somebody broke down how depression feel to me & it changed my whole stanc,3
I'd be making a lot of people happy if I were to commit suicide. I should do it. Therapy isn't for me. It's not my right.,3
"So where do we find this Graber guy? First, they wonder why churches get shot up. 3nd, they wonder why rejected trans kids commit suicide. I should sue him for endangering my life and calling on mass murder. In Jesus’ name.",3
Maybe I should just commit suicide to avoid embarrassment and shame. I’m so confused,3
should I Commit Suicide,3
"My sister has also gone far away from me.I know I have done some wrong, but she is doing more wrong than me. Now only God can tell them what is right and what is wrong.I think that I should commit suicide. Can she understand me after my death ? Somebody help me!",3
"After my death, my father and mother will be very sad. They will not be able to live.O God, return my niece to me.Forgive me all my friends for my mistake. My brother, I am going away from you.Didi if you remember me after my death My soul will find peace.",3
I haven't done anything for you but you left me for him. The tears in my eyes will never stop til my death. What was my mistake? O God forgive me. It seems that I am dying everyday.,3
You told me I should commit suicide and now telling that whatever I said is wrong. Psycho level max,3
Guys. It’s not being chosen for them! It means if the homeless person asks if they can legally commit suicide those people said yes it should be their choice. Women have the right to choose for their body with abortion. Why shouldn’t I have the right to decide if I exist or not?,3
Tohru and I should commit double suicide,3
Should I really commit suicide as early as possible ?,3
I'm going to take this a step further and medical doctors should be forced to administer this medication so the patients do not have to commit suicide,3
Wonder if I should commit suicide or not cuz some of this shxt…again and again,3
I bet so many of my generation will commit suicide at much higher rates than past generations in their 30s / 40s / 50s,3
I hope that nobody is still paying any attention to these freaks! They are all mentally ill and should have their children taken away! These kids are going to be so messed up! I wonder how many of them will commit suicide?,3
"If you're 56 & you still live with your mother spending your money on toys, maybe she should care more. Like I love my Who figures but I'm also in my 30s and working off an apartment because I'd commit suicide if I had to stay home another 30 years that's like neutering yourself",3
"Me that’s using IPhone 7 nko,I should commit suicide",3
"As a Brazilian, Latinhetalia fan, I would commit suicide if this was CANONICAL or if I took it too seriously in the matter of shipp or family connection in the literal sense. people should understand that there are limits",3
"MY SUICIDE RESPONSE: I’ve had thoughts on suicide, should I really full commit to doing it? It feels like I always get made fun of for whatever I do or say, so I feel like people don’t want me around anymore",3
"So I assume, as a gay man, you’re telling me I have no space on this planet & should commit suicide then?",3
"I have saying whites should not sign up for a decade because who wants to be a member of an army whose generals play politics, who lose all the time and whose veterans commit suicide?",3
"I’m a single dad to a high schooler and we’ve been through a lot together, much more than a kid her age should have to go through. Add COVID, fears of gun violence, a friend just tried to commit suicide. We need more than this, but it’s a start.",3
"Michael Byrd should be brought to justice. I wonder who he might implicate to avoid capital punishment, or will he appear to commit suicide?",3
Men with mental health problems abused neglected as child are useless people and should commit suicide like I did,3
was deported back to India. Please kindly tell me what was my mistake.after 3019 my financial situation has become so bad that I think maybe I should commit suicide.please dear sir kindly help me.please please please,3
I would rather wait for INC to commit the suicide like Shiv Sena. BJP should just wait and watch.,3
"I’m so sorry for your loss, may the Lord heal you and your family. Those two girls are sickos, they should have life in prison. It’s like that girlfriend who convinced her boyfriend to commit suicide so she could get attention. People like that don’t deserve freedom.",3
"Suicide isn't about responsibility, it's about ending pain. That's also not at all what I was talking about. Why should other people be responsible for actions they didn't commit?",3
"I watched a Soldier commit suicide by jumping off the second floor of the barracks and landing head first on the pavement. Should we ban multi story buildings, too? Gotta keep everyone safe, dontcha know.",3
Men should embarrassed their masculinity. I don't support lgbtq. Fk lgbtq. Everyone who supports lgbtq are stupid and exist in this world for no reason. I think they should commit suicide already.,3
"I like working on weekends because no ones there and i can play music and today i walked in playing something really loud and singing and a guy had to say ""...hi hannah!"" to let me know he was there Where should i commit suicide",3
I thought the whole “conspiracy” was that he was able to commit suicide even though he should’ve been constantly monitered.,3
"So why do you think people who aren't Catholic, should be Catholic? Eh? It's a very controlling religion in my view. If I was forced into that religion I'm sure I'd commit suicide.",3
I just think human beings to be humane. Sometimes humanity should overrule unnatural order. Didn’t the journalist commit suicide because he couldn’t deal with the choice he made?,3
